conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;
1964178141473092017,Sat Sep 06 14:08:01 +0000 2025,1,@fsaidhamzah @_riverheaven Gak lah nominal perkapita di trf ke pemda /pemdes buat nalangin MBG sekolah gratis kesehatan mirip program dana desa rawan korupsi bupati lurah kades menang banyak makanya pada loyal mati2an,1964329746642198760,,fsaidhamzah,in,,0,0,0,https://x.com/undefined/status/1964329746642198760,1844024367375941632,;;;;
1964322184689770927,Sat Sep 06 14:07:58 +0000 2025,31,@BudiBukanIntel Solusi paling realistis wajib bikin MRT di Bandung yg terkonek dgn Tegal luar trus jg akses ke St kcic Karawang dari delta mas sama bus trans wajib ad. Meskipun ini BU tp bisa dijalankan asal korbanin MBG atau kabinet gemuk,1964329733724000622,,BudiBukanIntel,in,,0,2,4,https://x.com/undefined/status/1964329733724000622,1407757503606054912,;;;;
1964279260098809961,Sat Sep 06 14:06:27 +0000 2025,0,@sobatbaik @islah_bahrawi Minjam uang buat mbg itu produktif gak?,1964329353162141722,,sobatbaik,in,,0,0,0,https://x.com/undefined/status/1964329353162141722,1902311830678335488,;;;;
1964279260098809961,Sat Sep 06 14:06:01 +0000 2025,0,@sobatbaik @islah_bahrawi MBG sama Kopdes produktif kah?,1964329240872255738,,sobatbaik,in,,0,0,0,https://x.com/undefined/status/1964329240872255738,84753363,;;;;
1964116336566816843,Sat Sep 06 14:05:22 +0000 2025,0,@ARSIPAJA tai buat orang yg masih dukung mbg. program ga guna buang2 duit.,1964329079974613034,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1964329079974613034,3316770544,;;;;
1964182885620994438,Sat Sep 06 14:05:02 +0000 2025,0,@rzkayunani Ya kan??? Mending perbaiki taraf hidup dulu barulah MBG. Emang niatnya buat korup sih ya ,1964328995014791195,,rzkayunani,in,,0,0,0,https://x.com/undefined/status/1964328995014791195,1257792719813898242,;;;;
1964268127341977875,Sat Sep 06 14:04:09 +0000 2025,0,ini maksud mbg nya fyi: nasgor hafa enak (ini gratis) https://t.co/72xZpQU4Gn,1964328774562173162,https://pbs.twimg.com/media/G0KymfXXQAAz1f4.jpg,siffapril,in,,0,1,0,https://x.com/undefined/status/1964328774562173162,1759748864784158720,;;;;
1964249566150054200,Sat Sep 06 14:00:27 +0000 2025,1,@TirtoID tlong buat pemerintah pak @prabowo bikinkan surat pernyataan bahwa yayasan/penyelenggara MBG siap dituntut hukum apabila MBG yg disalurkan membuat siswa keracunan. kasihkan tuh surat tertanda ke sekolah-sekolah. kalo pemerintah yg bikin surat sprtinya mustahil ,1964327842864328788,,TirtoID,in,,0,0,0,https://x.com/undefined/status/1964327842864328788,21847312,;;;;
1964299751165481084,Sat Sep 06 13:59:04 +0000 2025,0,@txtdrimedia Para pejabatnya yang suruh cobain Kalau bisa para pejabat uang makanan di kasi MBG aja sih sebenarnya wkwkwk,1964327493327819115,,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1964327493327819115,1781594245826256896,;;;;
1964321766060261676,Sat Sep 06 13:46:24 +0000 2025,0,@greenflagmode Bikin statement bodoh. Misal Kalau kita penuhi semua tuntutan rakyat ya bisa repot. atau Meski anak-anak keracunan bukan berarti program MBG tidak kita teruskan. atau Polisi terluka karena melindungi rakyat jadi wajar naik pangkat. https://t.co/8Mbrf0Er9O,1964324303958397262,https://pbs.twimg.com/media/G0Kui1DWcAAgsk1.jpg,greenflagmode,in,,0,0,0,https://x.com/undefined/status/1964324303958397262,1804155340411539458,;;;;
1964299751165481084,Sat Sep 06 13:46:23 +0000 2025,3,@txtdrimedia Bisa gak sih stop aja MBG terus alihkan ke pendidikan gratis aja.,1964324302582411639,,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1964324302582411639,1954391324230287360,;;;;
